id,foodname,species,mature_week,validweeks
1,鸡,肉禽类,0,52
2,羊,肉禽类,0,52
3,牛,肉禽类,0,52
4,猪,肉禽类,0,52
5,鸭,肉禽类,0,52
6,鹅,肉禽类,0,52
7,排,肉禽类,0,52
8,腿,肉禽类,0,52
9,肉,肉禽类,0,52
10,骨,肉禽类,0,52
11,腩,肉禽类,0,52
12,翅,肉禽类,0,52
13,蛋,肉禽类,0,52
14,脊,肉禽类,0,52
