id,tastename
1,其他
2,微辣
3,中辣
4,超辣
5,麻辣
6,酸辣
7,甜辣
8,香辣
9,酸甜
10,酸咸
11,咸鲜
12,咸甜
13,甜味
14,苦味
15,原味
16,清淡
17,五香
18,鱼香
19,葱香
20,蒜香
21,奶香
22,酱香
23,糟香
24,咖喱
25,孜然
26,果味
27,香草
28,怪味
29,咸香
30,甜香
31,麻香
