id,cookname
1,蒸
2,煮
3,拌
4,烤
5,炸
6,烧
7,炒
8,爆
9,焖
10,炖
11,烩
12,溜
13,氽
14,卤
15,炝
16,煎
17,煨
18,酱
19,煲
20,砂锅
21,烙
22,焗
23,焯
24,干煸
25,干锅
